,n_atoms,chemformula,C,H,O,H/C,O/C,MW,mass /g,SSSR,aromaticity (%),C-OH,C=O,C-O-C
0001.mol,93,C48H36O9,48,36,9,0.75,0.188,756.81,1.2567075898106402e-21,8,87.5,3,2,4
0002.mol,110,C59H40O11,59,40,11,0.678,0.186,924.96,1.5359288944949896e-21,11,84.75,4,3,4
0003.mol,256,C150H76O30,150,76,30,0.507,0.2,2358.23,3.915929723303215e-21,40,90.67,10,7,13
0004.mol,106,C53H42O11,53,42,11,0.792,0.208,854.91,1.4196081328394619e-21,7,71.7,0,4,7
0005.mol,106,C57H38O11,57,38,11,0.667,0.193,898.92,1.4926917782639167e-21,9,70.18,0,6,5
0006.mol,121,C60H50O11,60,50,11,0.833,0.183,947.05,1.5726118630279273e-21,9,73.33,3,5,3
0007.mol,139,C74H50O15,74,50,15,0.676,0.203,1179.2,1.958106007472335e-21,13,81.08,5,7,3
0008.mol,145,C79H52O14,79,52,14,0.658,0.177,1225.27,2.0346103633751684e-21,16,81.01,3,6,5
0009.mol,146,C83H50O13,83,50,13,0.602,0.157,1255.3,2.0844746910233317e-21,20,84.34,2,4,7
0010.mol,360,C228H88O44,228,88,44,0.386,0.193,3531.17,5.863642416754088e-21,66,94.74,12,19,13
0011.mol,250,C150H74O26,150,74,26,0.493,0.173,2292.22,3.8063142184009415e-21,38,86.67,6,14,6
0012.mol,102,C59H32O11,59,32,11,0.542,0.186,916.89,1.522538307457299e-21,12,74.58,2,7,2
0013.mol,156,C100H46O10,100,46,10,0.46,0.1,1407.46,2.337138994406369e-21,27,92.0,0,4,6
0014.mol,211,C137H62O12,137,62,12,0.453,0.088,1899.99,3.1550092827787043e-21,39,94.16,1,3,8
0015.mol,276,C184H74O18,184,74,18,0.402,0.098,2572.6,4.271899483133272e-21,56,91.3,0,6,12
0016.mol,140,C92H38O10,92,38,10,0.413,0.109,1303.31,2.1641905294820784e-21,27,93.48,0,4,6
0017.mol,147,C95H42O10,95,42,10,0.442,0.105,1343.37,2.2307200272083985e-21,25,92.63,1,5,4
0018.mol,200,C134H56O10,134,56,10,0.418,0.075,1825.91,3.0319982092215324e-21,38,94.78,2,4,4
0019.mol,149,C95H44O10,95,44,10,0.463,0.105,1345.39,2.2340676739678213e-21,24,89.47,0,5,5
0020.mol,198,C135H50O13,135,50,13,0.37,0.096,1879.87,3.121600897286233e-21,41,92.59,1,5,7
0021.mol,136,C88H40O8,88,40,8,0.455,0.091,1225.28,2.034625308226772e-21,23,89.77,0,4,4
0022.mol,140,C91H40O9,91,40,9,0.44,0.099,1277.31,2.1210264769699615e-21,26,92.31,3,1,5
0023.mol,551,C409H104O38,409,104,38,0.254,0.093,5625.29,9.341018790799566e-21,140,100.0,0,27,11
0024.mol,381,C265H90O26,265,90,26,0.34,0.098,3689.61,6.126739887096183e-21,81,96.98,0,15,11
0025.mol,148,C102H42O4,102,42,4,0.412,0.039,1331.45,2.2109313831448873e-21,30,100.0,0,2,2
0026.mol,170,C123H42O5,123,42,5,0.341,0.041,1599.68,2.656337777132927e-21,40,97.56,0,3,2
0027.mol,332,C246H74O12,246,74,12,0.301,0.049,3221.29,5.349071249540137e-21,85,97.56,1,6,5
0028.mol,129,C92H34O3,92,34,3,0.37,0.033,1187.28,1.971526484213232e-21,29,100.0,0,2,1
0029.mol,133,C99H30O4,99,30,4,0.303,0.04,1283.32,2.1310112983808766e-21,34,100.0,0,3,1
0030.mol,62,C42H18O2,42,18,2,0.429,0.048,554.6,9.209416088108858e-22,12,100.0,0,2,0
0031.mol,95,C67H26O2,67,26,2,0.388,0.03,862.94,1.4329505642442018e-21,21,97.01,1,1,0
0032.mol,102,C72H26O4,72,26,4,0.361,0.056,955.0,1.5858081669947559e-21,23,98.61,1,2,1
0033.mol,123,C92H26O5,92,26,5,0.283,0.054,1211.21,2.0112698262469704e-21,33,100.0,1,2,2
0034.mol,93,C68H22O3,68,22,3,0.324,0.044,886.92,1.4727669699968959e-21,23,100.0,0,2,1
0035.mol,149,C103H40O6,103,40,6,0.388,0.058,1373.45,2.2806624001927185e-21,32,99.03,0,1,5
0036.mol,532,C429H80O23,429,80,23,0.186,0.054,5601.34,9.3012372563673e-21,155,100.0,0,23,0
0037.mol,292,C229H52O11,229,52,11,0.227,0.048,2978.92,4.9466196801417545e-21,85,97.38,0,11,0
0038.mol,532,C429H72O31,429,72,31,0.168,0.072,5721.26,9.500382385615325e-21,155,100.0,0,31,0
0039.mol,286,C226H60,226,60,0,0.265,0.0,2774.97,4.6079394530791124e-21,84,100.0,0,0,0
0040.mol,388,C324H64,324,64,0,0.198,0.0,3956.08,6.569218750708808e-21,131,100.0,0,0,0
0041.mol,384,C320H48O16,320,48,16,0.15,0.05,4147.89,6.887730070261559e-21,131,100.0,0,12,4
0042.mol,382,C318H40O24,318,40,24,0.126,0.075,4243.79,7.046985730037935e-21,131,100.0,0,18,6
0043.mol,103,C57H36O10,57,36,10,0.632,0.175,880.91,1.4627771669687797e-21,14,78.95,3,1,6
0044.mol,190,C102H68O20,102,68,20,0.667,0.196,1613.65,2.6795222235888114e-21,24,79.41,10,1,9
0045.mol,190,C104H66O20,104,66,20,0.635,0.192,1635.65,2.7160640463010386e-21,26,77.88,9,0,11
0046.mol,186,C102H64O20,102,64,20,0.627,0.196,1609.61,2.672826930069966e-21,26,78.43,9,0,11
0047.mol,43,C23H16O4,23,16,4,0.696,0.174,356.38,5.917779311422136e-22,4,69.57,1,3,0
0048.mol,58,C34H18O6,34,18,6,0.529,0.176,522.51,8.67651589067142e-22,8,91.18,3,2,1
0049.mol,245,C190H42O13,190,42,13,0.221,0.068,2532.41,4.2051707207189025e-21,75,97.37,1,1,11
0050.mol,95,C70H20O5,70,20,5,0.286,0.071,940.93,1.5624427217805523e-21,25,97.14,0,2,3
0051.mol,205,C157H36O12,157,36,12,0.229,0.076,2114.0,3.510384569622697e-21,61,98.09,0,2,10
0052.mol,356,C272H64O20,272,64,20,0.235,0.074,3651.48,6.063431835160191e-21,104,97.79,3,2,15
0053.mol,336,C256H60O20,256,60,20,0.234,0.078,3455.28,5.737620785868148e-21,98,98.44,3,2,15
0054.mol,565,C484H56O25,484,56,25,0.116,0.052,6269.75,1.0411159834796099e-20,211,100.0,0,8,17
0055.mol,706,C628H56O22,628,56,22,0.089,0.035,7951.33,1.3203500743147859e-20,285,100.0,0,4,18
0056.mol,694,C608H64O22,608,64,22,0.105,0.036,7719.18,1.281799663546903e-20,271,100.0,0,4,18
0057.mol,377,C316H44O17,316,44,17,0.139,0.054,4111.81,6.82782280233513e-21,135,100.0,0,4,13
