,ID,True density (gcm-3),SA (m2g-1),H/C,Temp (C),True density (kgm-3),Hold time (min),Yield (%),Moisture (%),Ash (%),C (%),H (%),N (%),O (%),O/C,NMR aromaticity (%),NMR delta (ppm),VM (%),FC (%),Porosity (%),pH
0,tintner70,1.421192053,0,1.57622669,70,1421.192053,240,,,,48.62275449,6.386706949,,,,,,,,,
1,tintner70,1.405298013,0,1.541596677,70,1405.298013,240,,,,47.90419162,6.15407855,,,,,,,,,
2,G100,,1.8,1.81,100,,60,99.9,,6.9,48.6,7.25,0.64,44.1,0.69,,,69.6,23.5,,
3,W100,,1.6,1.59,100,,60,99.8,,1.2,50.6,6.68,0.05,42.7,0.63,,,77.1,21.7,,
4,Pine Wood,1.4615,,1.59,100,1461.5,60,,,,,,,,0.63,22,-0.1,,,,
5,"Ponderosa pine shavings1-Keiluweit et al., Env Sci & Technol 44, 4 (2010) 1247-1253",,1.6,1.584189723,100,,,,,1.2,50.6,6.68,0.05,42.7,0.632905138,,,77.1,21.7,,
6,G200,,3.3,1.81,200,,60,96.9,,5.7,47.2,7.11,0.61,45.1,0.72,,,70.7,23.6,,
7,"HW 200-Chen, C.-P et al., Geoderma 232-234 (2014) 581-588.",,,,200,,,,,11,,4.4,4.3,32.5,,,,,,,5.5
8,"FC 200-Fang, Q et al., Environmental Science & Technology 48, 1 (2013) 279-288.",,15.82,1.437512458,200,,,,,0.61,50.17,6.01,0.55,43.27,0.646850708,,,,,,8
9,"HM200-Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556",,0.58,1.525423729,200,,,,,,47.2,6,1.29,39.3,0.624470339,,,,,,
10,Pine Wood,1.4607,,1.64,200,1460.7,60,,,,,,,,0.62,27,-0.3,,,,
11,"Ponderosa pine shavings2-Keiluweit et al., Env Sci & Technol 44, 4 (2010) 1247-1253",,2.3,1.638506876,200,,,,,1.5,50.9,6.95,0.04,42.2,0.621807466,,,77.1,21.4,,
12,W200,,2.3,1.64,200,,60,95.9,,1.5,50.9,6.95,0.04,42.2,0.62,,,77.1,21.4,,
13,"PW 200-Li, J et al., Plant and Soil 370, 1-2 (2013) 333-344.",,,1.176744186,200,,,,,2.23,51.6,5.06,0.95,36.2,0.526162791,,,,,,
14,"PI200-Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556",,0.8,1.436293436,200,,,,,,51.8,6.2,0.27,39.6,0.573359073,,,,,,
15,Chestnut Wood,1.5101,,1.32,200,1510.1,300,,,,,,,,0.66,12,0.3,,,,
16,"Loblolly Pine 250-Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301",,139.7,,250,,,,,0.3,,,,38.2,,,,61.1,38.6,,
17,Chestnut Wood,1.5043,,1.16,250,1504.3,300,,,,,,,,0.55,23,0,,,,
18,RG250,,,,250,,120,,,1,53.4,,,,,41,0.3,,,,
19,"Bubinga 250-Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301",,5.4,,250,,,,,0.9,,,,34.9,,,,66.4,32.7,,
20,P250,,,,250,,60,,,5.3,49.4,,,,,32,0.1,,,,
21,"Eastern Red Cedar 250-Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301",,68.1,,250,,,,,0.9,,,,31.4,,,,62.6,36.5,,
22,"Laurel Oak 250-Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301",,1.8,,250,,,,,1.4,,,,41.5,,,,66,32.6,,
23,Chestnut Wood,1.4728,,0.79,275,1472.8,300,,,,,,,,0.55,57,0.1,,,,
24,"Pine300-Hale, L., et al. Soil Biology and Biochemistry 81 (2015) 228-235.",,9.6,,300,,,,,,71.9,,0.25,,,,,,,,4.63
25,Chestnut Wood,1.4685,,0.69,300,1468.5,300,,,,,,,,0.37,71,0.5,,,,
26,"HM300-Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556",,1.28,0.90821256,300,,,,,,62.1,4.7,1.6,22.2,0.268115942,,,,,,
27,"Palm300-Hale, L., et al. Soil Biology and Biochemistry 81 (2015) 228-235.",,3.1,,300,,,,,,59.22,,1.33,,,,,,,,6.47
28,Pine Wood,1.4458,,1.42,300,1445.8,60,,,,,,,,0.53,32,0,,,,
29,"FC 300-Fang, Q et al., Environmental Science & Technology 48, 1 (2013) 279-288.",,15.01,0.694765262,300,,,,,1.43,66.67,3.86,0.26,29.2,0.328483576,,,,,,9
30,"Pine 300 60 min Residence Time-Ronsse et al., GCB Bioenergy 5 (2013) 104-115",,6,0.791023843,300,,,,,0.5,71.3,4.7,,,,,,42.6,56.9,,5.7
31,"PI300-Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556",,1.13,0.978056426,300,,,,,,63.8,5.2,0.3,28.3,0.332680251,,,,,,
32,"Pine 300 10 min Residence Time-Ronsse et al., GCB Bioenergy 5 (2013) 104-115",,,1.308687616,300,,,,,0.3,54.1,5.9,,,,,,78,21.7,,4.5
33,G300,,4.5,1.34,300,,60,75.8,,9.4,59.7,6.64,1.02,32.7,0.41,,,54.4,36.2,,
34,W300,,3,1.42,300,,60,62.2,,1.5,54.8,6.5,0.05,38.7,0.53,,,70.3,28.2,,
35,Pinus halepensis 300-Cordero et al. Fuels 80 (2001) 1567-1571.,,,1.038062284,300,,,,,0.6,57.8,5,0.2,36.5,0.473615917,,,68.1,31.3,,
36,"HW 300-Chen, C.-P et al., Geoderma 232-234 (2014) 581-588.",,,,300,,,,,15,,2.8,4.1,19.4,,,,,,,7.1
37,"Ponderosa pine shavings3-Keiluweit et al., Env Sci & Technol 44, 4 (2010) 1247-1253",,3,1.423357664,300,,,,,1.5,54.8,6.5,0.05,38.7,0.529653285,,,70.3,28.2,,
38,"PP 300-Kim et al., Bioresource Technology 118 (2012) 158-162",,2.9,1.014084507,300,,,,,4.5,63.9,5.4,0.3,30.4,0.356807512,,,,,,
39,"Oak 300-Enders et al., Bioresource Technology 114 (2012) 644-653.",,,0.901408451,300,,,,,0.3,63.9,4.8,0.1,30.8,0.361502347,,,61.1,38.6,,4.2
40,"HW 300-Sun, Y et al., Chemical Engineering Journal 240 (2014) 574-578. ",,,0.841892087,300,,,,,,69.13,4.85,0.39,24.36,0.264284681,,,,,,7.1
41,solar300,1.321,144,1.6,300,1321,,,4.8,1.8,76,10.1,0.2,13.7,0.135197368,,,47.6,45.9,65.93,
42,tintner300,1.397350993,0,1.127801471,300,1397.350993,240,,,,57.60479042,5.413897281,,,,,,,,,
43,tintner300,1.417218543,0,1.207180682,300,1417.218543,240,,,,58.86227545,5.921450151,,,,,,,,,
44,"Pine 300-Enders et al., Bioresource Technology 114 (2012) 644-653.",,,0.875,300,,,,,1.5,67.2,4.9,0.1,31.5,0.3515625,,,55.3,43.2,,6.7
45,Quercus rotundifolia 300-Cordero et al. Fuels 80 (2001) 1567-1571.,,,1.020408163,300,,,,,1.5,58.8,5,0.3,34.5,0.44005102,,,65.1,33.4,,
46,"DPBC300-Usman, A.R.A., et al. Journal of Analytical and Applied Pyrolysis 115 (2015) 392-400.",,,0.844283497,300,,,,3.29,14.42,57.99,4.08,0.54,20.82,0.269270564,,,40.08,45.5,,8.32
47,S Wood 300,1.337433155,,0.89,300,1337.433155,240,62,3,2.9,58.1,4.3,0.5,34.3,0.44,,,,,,
48,"Pine 300-Huff, M. D et al., Journal of Environmental Management 146 (2014) 303-308.",,,0.60833221,300,,,,,4.93,74.17,3.76,,14.54,0.1470271,,,27.89,67.18,,
49,10,,,,300,1381,15,56.7,2,0.12,,,,,,,,56.6,43.3,,
50,"PW 350-Alburquerque, J. A et al., Environmental Pollution 196 (2015) 72-77.",,254,,350,,,,,1.36,,,0.34,,,,,,,,7.22
51,CH350,,,0.78,350,,30,43.5,,12.9,60.5,3.92,,19.5,0.24,,,34.6,52.5,,
52,"PI350-Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556",,2.03,0.755490483,350,,,,,,68.3,4.3,0.4,23.6,0.259150805,,,,,,
54,"HM350-Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556",,1.82,0.793700787,350,,,,,,63.5,4.2,1.7,20.6,0.243307087,,,,,,
55,SG350,,,0.68,350,,30,37.5,,1.9,74.7,4.26,,17.9,0.18,,,35,63,,
56,PB350,,,0.66,350,,30,59.6,,8.3,67.6,3.73,,28.7,0.32,,,38.5,53.2,,
57,"PC 350-Hall, K. E et al., Water, Air, & Soil Pollution 225, 7 (2014) 1-9.",,,0.742755465,350,,,,,1.79,78.68,4.87,0.37,,,,,40.41,57.8,,7.1
58,"PW 350-Alburquerque, J.A., et al. Journal of Cleaner Production 120 (2016) 191-197.",,254,,350,,,,3.88,1.36,,,0.3389,,,,,30.16,68.48,,7.2
59,"PW 350-Li, J et al., Plant and Soil 370, 1-2 (2013) 333-344.",,4.03,,350,,,,,3.85,,1.67,1.84,16.5,,,,,,,
60,"PW 350-Liu, Z et al., Bioresource Technology 146 (2013) 371-378.",,,0.734210526,350,,,,,2.23,76,4.65,1.4,17.61,0.173782895,,,34.31,63.46,,
61,"SD-Konsolakis, M., et al. Royal Society of Chemistry 5 (2015) 73399–73409.",,2.6,0.398734177,350,,,,,1.7,63.2,2.1,0.32,,,,,42.9,55.4,,4.5
62,"PC 350, 100-Crombie, K et al., GCB Bioenergy (2014).",,,,350,,,,,3.4,,,,,,,,,,,
63,"PC 350-Crombie, K et al., GCB Bioenergy (2014).",,,,350,,,,,1.4,,,,,,,,,,,
64,"Pine 350-Enders et al., Bioresource Technology 114 (2012) 644-653.",,,0.746817539,350,,,,,0.6,70.7,4.4,0.1,25.2,0.267326733,,,56.3,43.1,,
65,S Grass 350,1.380748663,1.398601399,0.67,350,1380.748663,240,40.8,3,4.9,66.9,3.8,0.7,23.8,0.27,,,,,,
66,"WP 350 10, 0-Crombie, K et al., GCB Bioenergy (2014).",,,0.802377415,350,,,,,0.8,67.3,4.5,0,27.5,0.306463596,,,50.7,48.5,,
67,Quercus rotundifolia 350-Cordero et al. Fuels 80 (2001) 1567-1571.,,,0.523117569,350,,,,,1.3,75.7,3.3,0.6,19.1,0.189233818,,,43.4,55.3,,
68,"WP 350 20, 0-Crombie, K et al., GCB Bioenergy (2014).",,,1.001574803,350,,,,,1.2,63.5,5.3,0.1,30,0.354330709,,,48,50.8,,
69,"WP 350 40, 0-Crombie, K et al., GCB Bioenergy (2014).",,,0.807017544,350,,,,,1.2,68.4,4.6,0,30,0.328947368,,,44.2,54.6,,
70,"WP 350 10, 0.33-Crombie, K et al., GCB Bioenergy (2014).",,,0.756302521,350,,,,,1.4,71.4,4.5,0,22.7,0.238445378,,,40.7,57.9,,
71,"WP 350 20, 0.33-Crombie, K et al., GCB Bioenergy (2014).",,,0.934844193,350,,,,,1.2,70.6,5.5,0.1,22.6,0.240084986,,,42.4,56.4,,
72,Pinus halepensis 350-Cordero et al. Fuels 80 (2001) 1567-1571.,,,0.682385576,350,,,,,1.2,72.1,4.1,0.2,22.5,0.234049931,,,49.5,49.3,,
73,S Wood 350,1.385561497,1.398601399,0.65,350,1385.561497,240,50.5,3.7,2.7,70,3.8,0.7,22.8,0.24,,,,,,
74,"Oak 350-Enders et al., Bioresource Technology 114 (2012) 644-653.",,,0.544726302,350,,,,,1.1,74.9,3.4,0.2,20.4,0.204272363,,,60.8,38.1,,
75,"WP 350 40, 0.33-Crombie, K et al., GCB Bioenergy (2014).",,,0.756302521,350,,,,,1.4,71.4,4.5,0,22.7,0.238445378,,,38.4,60.2,,
76,Chestnut Wood,1.4959,,0.52,350,1495.9,300,,,,,,,,0.28,85,0.4,,,,
77,"WP 350 10, 0.66-Crombie, K et al., GCB Bioenergy (2014).",,,0.873038516,350,,,,,1.2,70.1,5.1,0.1,23.4,0.250356633,,,44.1,54.7,,
78,"PC 350-Calvelo Pereira, R et al., Animal Feed Science and Technology 196 (2014) 22-31.",,,,350,,,,,4,67.1,,0.56,,,,,,,,9.8
79,"Aspidosperma quebracho 'Blanco Schlecht' 350-Spokas,  Carbon Manage. 1 (2010) 289-303.",,2,0.694736842,350,,,,,0.9,76,4.4,1.7,17.9,0.176644737,,,69.5,29.6,,
80,"Aspidosperma australe 350-Spokas,  Carbon Manage. 1 (2010) 289-303.",,2,0.697297297,350,,,,,1.9,74,4.3,1.2,20.5,0.20777027,,,66.8,31.3,,
81,"TK biochar-Butnan, S., et al. Geoderma 237-238 (2015) 105-116.",,,,350,,,,,2.35,61.86,,,,,,,35.79,61.86,,6.52
82,ES350,,,0.65,350,,30,42.5,,0.9,70.4,3.81,,24,0.26,,,36.9,62.2,,
83,"Eucalyptus 350-Fungo, B et al., Journal of Plant Nutrition and Soil Science 177 (2014) 34-38.",,,0.686736215,350,,,,,1.7,67.1,3.84,0.23,27.1,0.30290611,,,35.1,63.2,,7.5
84,"WP 350 20, 0.66-Crombie, K et al., GCB Bioenergy (2014).",,,0.785340314,350,,,,,1.3,76.4,5,0.1,17.2,0.168848168,,,44.1,54.6,,
85,"WP 350 40, 0.66-Crombie, K et al., GCB Bioenergy (2014).",,,1.050445104,350,,,,,1.5,67.4,5.9,0.1,25.2,0.28041543,,,42.6,55.9,,
86,"Pine 350-5-Crombie et al., GCB Bioenergy 5 (2013) 122-131 ",,,0.653072947,350,,,,,1.4,69.64,3.79,0,26.58,0.286257898,,,50.8,47.8,,
87,"Pine 350-100-Crombie et al., GCB Bioenergy 5 (2013) 122-131",,,0.835282514,350,,,,,3.4,70.97,4.94,1.37,22.73,0.24020713,,,38.7,57.9,,
88,"DF 370 -Fulton, W et al., Agronamy for Sustainable Development 33, 3 (2013) 469-474.",,,,370,,,,,2.3,,,,,,,,,,,
89,"AS 380-Chia, C. H et al., Journal of Analytical and Applied Pyrolysis 108 (2014) 26-34.",,,0.576,380,,,,,4.5,75,3.6,0.7,20.7,0.207,,,30.7,64.8,,8.81
90,"Cellulose1-Argudo et al., Carbon 36, 7-8 (1998) 1027-1031",,133,0.478197674,400,,,,,0,82.56,3.29,0.08,14.07,0.127816134,,,,,,
91,"WC 400-Kearns, J. P et al.,Water Research 62 (2014) 20-28.",,2.4,0.64651774,400,,,,,2.4,76.1,4.1,0.24,17.1,0.168528252,,,,,,
92,"Pine 400-Enders et al., Bioresource Technology 114 (2012) 644-653.",,,0.581913499,400,,,,,1.1,76.3,3.7,0.1,20.8,0.204456094,,,45.5,53.4,,4.6
93,"OT 400-Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.",,5.6,0.629608622,400,,,,,,70.52,3.7,0.69,21.47,0.228339478,,,32.06,,,6.43
94,Quercus rotundifolia 400-Cordero et al. Fuels 80 (2001) 1567-1571.,,,0.514954486,400,,,,,1.3,76.9,3.3,0.4,18.2,0.177503251,,,34.5,64.2,,
95,"HW 400-Ameloot, N et al., Soil Biology and Biochemistry 78 (2014) 195-203.",,,,400,,,,,,72.3,,0.172,,,,,,,,
96,"AT 400-Jindo, K et al., Biogeosciences Discussions 11, 8 (2014) 11727-11746.",,11.9,0.706184098,400,,,,,,70.18,4.13,0.76,20.56,0.219720718,,,32.36,,,7.02
97,"OWO 400-Jarvis, J. M et al., Energy & Fuels 28, 10 (2014) 6438-6446.",,,,400,,,,,,87,,0.62,,,,,,,,7.9
98,"MC 400-Jarvis, J. M et al., Energy & Fuels 28, 10 (2014) 6438-6446.",,,,400,,,,,,89,,0.26,,,,,,,,8.1
99,"Pine 400-Huff, M. D et al., Journal of Environmental Management 146 (2014) 303-308.",,,0.395394415,400,,,,,3.99,81.64,2.69,,5.26,0.048321901,,,19.57,76.44,,
100,"HW 400-Chen, C.-P et al., Geoderma 232-234 (2014) 581-588.",,,,400,,,,,19,,1.6,3.5,18.2,,,,,,,9
101,"FC 400-Fang, Q et al., Environmental Science & Technology 48, 1 (2013) 279-288.",,62.12,0.515211379,400,,,,,2.54,75.93,3.26,0.42,20.38,0.201303832,,,,,,9
102,"PC 400-Ameloot, N et al., GCB Bioenergy (2013).",,0.22,0.655014789,400,,,,,1.05,74.38,4.06,0.25,14.59,0.14711616,,,30.23,68.72,,
103,"Pine Chips1-Gaskin et al., ASABE 51, 6 (2008) 2061-2069",,,,400,,,,,,73.9,,0.255,,,,,,,,7.55
104,"Oak 400-Enders et al., Bioresource Technology 114 (2012) 644-653.",,,0.487309645,400,,,,,0.8,78.8,3.2,0.2,17.1,0.162753807,,,40.9,58.3,,4.6
105,Pinus halepensis 400-Cordero et al. Fuels 80 (2001) 1567-1571.,,,0.578313253,400,,,,,1.3,74.7,3.6,0.2,20.3,0.203815261,,,36.5,62.2,,
106,"Ponderosa pine shavings4-Keiluweit et al., Env Sci & Technol 44, 4 (2010) 1247-1253",,28.7,0.801619433,400,,,,,1.4,74.1,4.95,0.06,20.9,0.211538462,,,36.4,62.2,,
107,W400,,28.7,0.8,400,,60,35.3,,1.4,74.1,4.95,0.06,20.9,0.21,,,36.4,62.2,,
108,11,,,,400,1390,15,36.9,2.6,0.41,,,,,,,,26,73.6,,
109,S Grass 400,1.43368984,8.391608392,0.58,400,1433.68984,240,34.9,3.3,5.4,69.8,3.4,0.7,20.8,0.22,,,,,,
110,Chestnut Wood,1.514,,0.46,400,1514,300,,,,,,,,0.24,87,1,,,,
111,"Eucalyptus saligna wood1-Singh et al., Australian J. Soil Research 48 (2010) 516-525",,,,400,,,,,4.2,69.4,,0.21,,,,,,,,7.7
112,"Beech sawdust 400-Spokas,  Carbon Manage. 1 (2010) 289-303.",,,0.414234875,400,,,,,,84.3,2.91,,5.88,0.052313167,,,16.3,,,
113,tintner400,1.393377483,0,0.464757289,400,1393.377483,240,,,,78.08383234,3.024169184,,,,,,,,,
114,tintner400,1.429139073,36.87723868,0.447150535,400,1429.139073,240,,,,77.18562874,2.876132931,,,,,,,,,
115,Pine Wood,1.4193,,0.8,400,1419.3,60,,,,,,,,0.21,69,0.8,,,,
116,"DPBC400-Usman, A.R.A., et al. Journal of Analytical and Applied Pyrolysis 115 (2015) 392-400.",,,0.63526245,400,,,,3.13,16.34,66.87,3.54,0.45,11.44,0.128308659,,,20.25,63.41,,9.25
117,"Bubinga 400-Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301",,6.1,,400,,,,,1.8,,,,17.6,,,,41.1,57.1,,
118,S Wood 400,1.380748663,2.097902098,0.58,400,1380.748663,240,43,3.1,3.3,71.9,3.5,0.9,20.5,0.21,,,,,,
119,PO-400,,3,0.667549669,400,,,29.7,,4,75.5,4.2,1,15.2,0.150993377,,,,,,7.2
120,"SD 400-Shan, J et al., Chemosphere 107 (2014) 109-114.",,55.5,2.409574468,400,,,,,,75.2,15.1,0.24,9,0.089760638,,,,,,6.1
121,"Laurel Oak 400-Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301",,2.2,,400,,,,,2.6,,,,25.9,,,,51.9,45.5,,
122,"Eucalyptus saligna wood3-Singh et al., Australian J. Soil Research 48 (2010) 516-525",,,,400,,,,,3.2,69.7,,0.21,,,,,,,,6.9
123,"PP 400-Kim et al., Bioresource Technology 118 (2012) 158-162",,4.8,0.916548798,400,,,,,7.9,70.7,5.4,0.4,30.4,0.322489392,,,,,,
124,"Loblolly Pine 400-Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301",,2.9,,400,,,,,0.5,,,,25.9,,,,58.6,40.9,,
125,PI-400,,1,0.719687093,400,,,34.9,,3.7,76.7,4.6,0.6,14.5,0.14178618,,,,,,6.9
126,G400,,8.7,0.73,400,,60,37.2,,16.3,77.3,4.7,1.24,16.7,0.16,,,26.8,56.9,,
127,"Eastern Red Cedar 400-Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301",,7.2,,400,,,,,0.4,,,,17.9,,,,52,47.6,,
128,WI-400,,3,0.634441088,400,,,37.8,,5.7,66.2,3.5,1.5,23.1,0.261706949,,,,,,7.5
129,"Wood feedstock (410)-Mukome et al., J. Agric. Food Chem. 61, 9 (2013) 2196-2204",,2.82,0.8,410,,,,,2.6,65.7,4.38,0.21,23.52,0.268493151,,,,,,7.1
130,"EW 450-Fang, Y et al., European Journal of Soil Science 65, 1 (2014) 60-71.",,191,,450,,,,,,67.4,,0.52,,,,,,,,8.64
131,"HW 450-Sun, Y et al., Chemical Engineering Journal 240 (2014) 574-578. ",,12.9,0.464960536,450,,,,,,83.62,3.24,0.17,11.46,0.102786415,,,,,,7.9
132,ES450,,,0.52,450,,30,36,,0.7,78.6,3.42,,16.6,0.16,,,28.5,70.8,,
133,S Wood 450,1.427272727,5.594405594,0.49,450,1427.272727,240,39.5,3.6,4.4,74.8,3.1,1,16.7,0.17,,,,,,
134,"PWC 450-Brennan, A et al., Plant and Soil 379, 1-2 (2014) 351-360.",,288,,450,,,,,,83.71,,0.36,,,,,,,,7.52
135,"ES 450-Fang, Y et al., Agriculture, Ecosystems & Environment 191 (2014) 158-167.",,,,450,,,,,3,,,,,,,,,,,8.64
136,"OM 450-Farrell, M et al., Soil Biology and Biochemistry 80 (2015) 79-88.",,,,450,,,,,,56.4,,0.38,,,,,,,,7.23
137,"OT 450-Brennan, A et al., Plant and Soil 379, 1-2 (2014) 351-360.",,265,,450,,,,,,75.52,,1.1,,,,,,,,9.34
138,Pinus halepensis 450-Cordero et al. Fuels 80 (2001) 1567-1571.,,,0.490421456,450,,,,,1.4,78.3,3.2,0.2,16.8,0.16091954,,,27.4,71.2,,
139,Quercus rotundifolia 450-Cordero et al. Fuels 80 (2001) 1567-1571.,,,0.443349754,450,,,,,1.8,81.2,3,0.4,13.6,0.125615764,,,21.8,76.4,,
140,"Oak 450-Enders et al., Bioresource Technology 114 (2012) 644-653.",,,0.423031727,450,,,,,0.6,85.1,3,0.2,11.2,0.098707403,,,44.4,55,,
141,"Pine 450-5-Crombie et al., GCB Bioenergy 5 (2013) 122-131",,,0.402704733,450,,,,,2.9,79.86,2.68,0,17.47,0.16406837,,,34.9,62.2,,
142,"Pine 450-100-Crombie et al., GCB Bioenergy 5 (2013) 122-131",,,0.577191621,450,,,,,3.4,77.34,3.72,1.01,17.93,0.173875097,,,33,63.6,,
143,"WC 450-Zheng, W., B.K. Sharma and N. Rajagopalan. 2010. Using Biochar as a Soil Amendment for Sustainable Agriculture.  University of Illinois at Urbana-Champaign, Illinois Sustainable Technology Center.",,12.96,0.454855196,450,,,,1.69,10.23,70.44,2.67,1.11,13.86,0.147572402,,,,,,
144,"WSP 450-Crombie, K et al., GCB Bioenergy (2014).",,,,450,,,,,17.6,,,,,,,,,,,
